r1	r2	r1.p.value	r2.p.value	r1*r2.p.value
476	3201	0.621784	0.932291	0.0000055662
480	494	0.019555	0.041792	0.0000021421
480	492	0.019555	0.041792	0.0000021421
480	653	0.272781	0.011090	0.0000010030
480	655	0.272781	0.011090	0.0000010030
480	735	0.048898	0.388189	0.0000008228
480	1612	0.019331	0.725593	0.0000087712
480	1933	0.000232	0.461972	0.0000025670
480	1946	0.000047	0.428942	0.0000012489
480	1945	0.000130	0.506821	0.0000070712
480	1999	0.000366	0.056844	0.0000046467
480	2035	0.000038	0.157663	0.0000042205
480	2043	0.053914	0.258342	0.0000005284
480	2674	0.000050	0.517831	0.0000014977
480	2709	0.000145	0.296709	0.0000013302
480	3069	0.004264	0.116049	0.0000018469
480	3086	0.000114	0.293707	0.0000038304
480	3557	0.166870	0.441679	0.0000031824
480	3614	0.019146	0.501773	0.0000017723
480	3606	0.019146	0.501773	0.0000017723
480	4358	0.076635	0.037448	0.0000088998
486	2262	0.321469	0.568347	0.0000021776
486	2260	0.332777	0.700810	0.0000077127
486	2712	0.332260	0.255598	0.0000079471
487	2025	0.459476	0.089214	0.0000094768
487	2249	0.297600	0.213062	0.0000043079
487	2246	0.518838	0.036158	0.0000037414
491	2077	0.469037	0.123454	0.0000033108
499	2082	0.419663	0.107083	0.0000099621
500	2323	0.472193	0.025437	0.0000078173
503	3245	0.045604	0.001488	0.0000085823
505	2372	0.291927	0.019766	0.0000058857
505	2452	0.331815	0.069276	0.0000039063
505	4413	0.466030	0.415232	0.0000000414
506	2456	0.325210	0.001464	0.0000000963
520	1845	0.179175	0.224935	0.0000088873
525	1064	0.738347	0.762186	0.0000043049
525	1068	0.742716	0.970797	0.0000043229
527	2467	0.270025	0.668961	0.0000065783
528	1961	0.585740	0.855680	0.0000020113
528	2471	0.523271	0.007269	0.0000061847
528	2467	0.523271	0.007269	0.0000061847
528	2469	0.523271	0.007269	0.0000061847
528	2468	0.523271	0.007269	0.0000061847
530	2861	0.626094	0.192788	0.0000018269
533	2867	0.850682	0.200305	0.0000071291
536	4827	0.349203	0.870393	0.0000062885
541	2866	0.850682	0.200305	0.0000071291
541	2867	0.850682	0.200305	0.0000071291
541	2865	0.850682	0.200305	0.0000071291
542	2879	0.949593	0.505957	0.0000099462
543	2868	0.893605	0.788981	0.0000099874
544	1902	0.000133	0.000010	0.0000000326
544	2867	0.037657	0.326768	0.0000019208
544	2866	0.042506	0.480891	0.0000023518
554	1696	0.048620	0.322497	0.0000090871
554	1697	0.032501	0.060438	0.0000014854
554	1698	0.037208	0.186573	0.0000040067
558	4700	0.016253	0.000386	0.0000091529
564	642	0.048729	0.004731	0.0000073880
564	641	0.048729	0.004731	0.0000073880
574	3783	0.300462	0.000332	0.0000048862
577	2078	0.293806	0.352271	0.0000056375
604	1709	0.965171	0.575763	0.0000064608
610	646	0.311095	0.066294	0.0000024417
610	1681	0.493838	0.196816	0.0000088151
613	1813	0.203685	0.022565	0.0000026340
613	1808	0.194547	0.040747	0.0000033320
615	1375	0.029817	0.000449	0.0000079404
615	1363	0.031269	0.000310	0.0000078014
615	1518	0.077173	0.025638	0.0000095989
615	2699	0.099628	0.032489	0.0000095909
615	3140	0.049376	0.002012	0.0000021958
615	3135	0.049376	0.002012	0.0000021958
615	3130	0.049376	0.002012	0.0000021958
615	3132	0.049376	0.002012	0.0000021958
615	3139	0.049376	0.002012	0.0000021958
615	3136	0.049376	0.002012	0.0000021958
615	4417	0.037409	0.002629	0.0000079168
615	4693	0.066517	0.002706	0.0000063337
615	4727	0.070961	0.002533	0.0000051191
618	2690	0.688921	0.981019	0.0000002513
620	2687	0.914842	0.001862	0.0000029583
624	1526	0.795021	0.013240	0.0000014098
632	3192	0.252269	0.950445	0.0000061963
641	2692	0.084313	0.021635	0.0000003179
641	3245	0.038568	0.001019	0.0000016493
647	2867	0.862322	0.566721	0.0000002693
651	2211	0.092186	0.694580	0.0000017017
654	2095	0.742324	0.446753	0.0000094709
654	3356	0.246117	0.437624	0.0000028360
657	1963	0.035851	0.434562	0.0000026228
657	2251	0.096026	0.056527	0.0000056333
657	2466	0.018388	0.858470	0.0000053759
657	2467	0.018388	0.858470	0.0000053759
657	2464	0.018388	0.858470	0.0000053759
657	2470	0.059494	0.298584	0.0000085336
657	2471	0.019297	0.888847	0.0000052734
657	2529	0.025164	0.008539	0.0000069698
657	2681	0.042924	0.880477	0.0000063859
662	1678	0.001683	0.534327	0.0000067998
662	2866	0.297639	0.154667	0.0000037354
666	724	0.418093	0.557176	0.0000063255
670	2092	0.059623	0.495578	0.0000047071
680	1239	0.051025	0.876882	0.0000053198
680	2006	0.172508	0.153084	0.0000039305
683	2418	0.225501	0.172298	0.0000085530
685	2232	0.119081	0.457857	0.0000059422
685	3967	0.204754	0.067706	0.0000009030
685	4156	0.085298	0.883166	0.0000004603
701	3185	0.449601	0.195344	0.0000000000
704	2430	0.010456	0.152317	0.0000081484
706	2410	0.553392	0.254440	0.0000059019
708	2866	0.982648	0.157556	0.0000070068
709	2090	0.524068	0.091271	0.0000017767
709	2891	0.285119	0.701808	0.0000098559
711	2983	0.735176	0.213048	0.0000075664
719	4566	0.184891	0.006170	0.0000000001
721	2094	0.652898	0.988329	0.0000074857
727	1841	0.113514	0.080019	0.0000011207
727	1842	0.083807	0.055109	0.0000004036
727	1836	0.078631	0.031206	0.0000008054
727	2014	0.217155	0.760595	0.0000021974
728	1541	0.169066	0.628390	0.0000020123
731	1275	0.000160	0.592844	0.0000051464
731	1279	0.000160	0.592844	0.0000051464
731	1278	0.000160	0.592844	0.0000051464
731	1277	0.000160	0.592844	0.0000051464
731	1709	0.000130	0.675289	0.0000006718
731	2041	0.141498	0.256540	0.0000066743
731	2835	0.000001	0.096296	0.0000014338
731	2914	0.000227	0.180165	0.0000086435
731	2915	0.000174	0.119283	0.0000056715
731	2910	0.000174	0.119283	0.0000056715
731	2923	0.000450	0.058609	0.0000044728
731	2960	0.000041	0.863011	0.0000032184
731	2956	0.000037	0.839776	0.0000014289
731	2955	0.000028	0.462122	0.0000023029
731	3560	0.040667	0.488141	0.0000004934
731	3905	0.004430	0.896662	0.0000097054
735	1841	0.051478	0.111854	0.0000061732
735	2933	0.046436	0.863465	0.0000048206
735	2934	0.046436	0.863465	0.0000048206
735	4513	0.424610	0.323129	0.0000001402
735	4511	0.610601	0.146430	0.0000087323
744	1847	0.201842	0.104650	0.0000016518
744	1838	0.178126	0.412352	0.0000015103
744	2201	0.575591	0.054515	0.0000052712
744	2264	0.329681	0.397151	0.0000087794
745	1845	0.935098	0.100014	0.0000006555
745	4093	0.762090	0.322531	0.0000024593
745	4092	0.762090	0.322531	0.0000024593
745	4833	0.599190	0.005568	0.0000076079
746	928	0.007981	0.688609	0.0000061493
746	1563	0.000157	0.357357	0.0000089913
746	2870	0.697792	0.780575	0.0000063509
746	2939	0.937604	0.127657	0.0000073553
746	3413	0.001091	0.274914	0.0000089542
746	3429	0.001091	0.274914	0.0000089542
746	3486	0.028060	0.422236	0.0000060071
746	3967	0.007849	0.583917	0.0000025391
750	2868	0.794426	0.427412	0.0000095733
750	3573	0.061918	0.236384	0.0000084058
752	1968	0.037690	0.643350	0.0000061994
756	2045	0.052569	0.695534	0.0000069024
756	4165	0.008458	0.901808	0.0000045180
756	4167	0.009305	0.405000	0.0000022716
759	3405	0.884787	0.212507	0.0000033011
760	2362	0.041193	0.425048	0.0000031591
763	2376	0.183228	0.894112	0.0000010605
763	4475	0.521262	0.792118	0.0000063451
765	2059	0.003285	0.248142	0.0000069773
769	3404	0.377208	0.232300	0.0000058799
771	1882	0.009963	0.464264	0.0000042046
783	972	0.228592	0.575526	0.0000033423
803	2509	0.568418	0.007227	0.0000012018
803	2503	0.604353	0.153791	0.0000071817
803	2510	0.594856	0.038377	0.0000022486
818	1639	0.288192	0.002303	0.0000096603
842	2671	0.966533	0.293752	0.0000058765
872	3189	0.697511	0.937523	0.0000023676
872	3516	0.033106	0.073439	0.0000066073
872	3515	0.032921	0.063744	0.0000063824
872	3530	0.003974	0.017858	0.0000064219
876	2692	0.068144	0.012774	0.0000021831
876	2695	0.155672	0.108185	0.0000054139
876	3221	0.139395	0.383588	0.0000028458
876	3243	0.150349	0.966414	0.0000019563
876	3249	0.163308	0.670005	0.0000016580
876	3450	0.163836	0.091565	0.0000017422
876	3468	0.143394	0.646380	0.0000027574
876	3494	0.000264	0.044877	0.0000067900
884	4374	0.693896	0.000001	0.0000029830
884	4380	0.693896	0.000001	0.0000029830
884	4375	0.693896	0.000001	0.0000029830
884	4379	0.693896	0.000001	0.0000029830
884	4378	0.693896	0.000001	0.0000029830
894	3683	0.636372	0.000001	0.0000067050
895	2870	0.303868	0.718888	0.0000046232
895	3462	0.435006	0.445928	0.0000019723
907	2074	0.741021	0.704146	0.0000041821
907	3443	0.741268	0.801022	0.0000095415
907	3442	0.741268	0.801022	0.0000095415
907	3836	0.000011	0.325056	0.0000004612
908	1702	0.005171	0.612295	0.0000068661
908	1696	0.003927	0.725872	0.0000027439
908	1699	0.004550	0.870489	0.0000053555
909	1685	0.634293	0.620113	0.0000020627
909	3235	0.000003	0.375485	0.0000032681
909	3341	0.687293	0.084834	0.0000035496
911	1631	0.432095	0.887689	0.0000053644
911	3581	0.013009	0.812185	0.0000029589
915	3792	0.026646	0.101949	0.0000034821
920	1799	0.507523	0.390731	0.0000030642
937	1856	0.823775	0.203291	0.0000076073
937	1853	0.563834	0.281840	0.0000030250
937	1964	0.973377	0.229720	0.0000097814
947	1687	0.801999	0.304388	0.0000048809
953	3874	0.702470	0.995365	0.0000086304
955	2869	0.340454	0.088674	0.0000080994
979	2080	0.505602	0.066830	0.0000062457
1043	1239	0.090252	0.116022	0.0000066483
1045	3249	0.894305	0.545223	0.0000055736
1047	1630	0.900508	0.810936	0.0000055002
1050	3328	0.846877	0.363352	0.0000070464
1054	2428	0.478820	0.226693	0.0000015519
1055	1679	0.579160	0.629368	0.0000067432
1057	2438	0.482799	0.534918	0.0000027700
1057	2437	0.439830	0.121429	0.0000051182
1057	2436	0.420546	0.101007	0.0000082200
1058	1250	0.517137	0.634248	0.0000085323
1064	1434	0.118071	0.033093	0.0000058590
1064	2090	0.843850	0.881847	0.0000064585
1064	2391	0.462132	0.059819	0.0000098124
1067	4337	0.849329	0.002173	0.0000091867
1068	1383	0.305796	0.169189	0.0000036289
1071	4884	0.711965	0.772029	0.0000051446
1083	3242	0.100264	0.862982	0.0000051936
1092	1645	0.790034	0.012748	0.0000086434
1092	1646	0.790034	0.012748	0.0000086434
1092	4932	0.930195	0.008318	0.0000097781
1097	2235	0.770971	0.723716	0.0000078090
1097	2315	0.526463	0.560295	0.0000087315
1097	2415	0.609407	0.784428	0.0000075800
1100	2088	0.894295	0.332441	0.0000041926
1103	2244	0.555028	0.084485	0.0000008903
1105	2393	0.444156	0.798602	0.0000039897
1105	2403	0.788410	0.730768	0.0000063856
1108	1632	0.345487	0.003644	0.0000075045
1108	2430	0.595877	0.294100	0.0000024170
1110	2419	0.586537	0.122907	0.0000025506
1110	2416	0.613308	0.371390	0.0000014411
1111	2079	0.403255	0.218027	0.0000012554
1111	2294	0.503293	0.403401	0.0000095937
1112	1681	0.702607	0.977396	0.0000028927
1113	2434	0.399087	0.352110	0.0000045490
1114	2295	0.748461	0.645502	0.0000060439
1116	2466	0.653004	0.558325	0.0000050529
1116	2468	0.653004	0.558325	0.0000050529
1119	2469	0.749401	0.346475	0.0000093015
1119	3376	0.508269	0.293952	0.0000096618
1120	3469	0.830703	0.847279	0.0000047685
1120	3470	0.787238	0.806562	0.0000053515
1122	2429	0.636543	0.331817	0.0000045422
1134	2452	0.645498	0.266793	0.0000096162
1138	2418	0.634652	0.071494	0.0000062336
1138	2426	0.355356	0.053476	0.0000019147
1141	2442	0.108369	0.249800	0.0000063760
1142	3850	0.393870	0.018577	0.0000066639
1148	2302	0.412404	0.218066	0.0000094164
1148	2300	0.407367	0.263446	0.0000032398
1149	2441	0.306813	0.179350	0.0000067660
1151	2465	0.466305	0.846123	0.0000047289
1151	2466	0.466312	0.758526	0.0000034887
1155	2091	0.844192	0.502831	0.0000099758
1155	2334	0.363145	0.084430	0.0000018728
1155	2469	0.364603	0.025700	0.0000004783
1155	2468	0.496063	0.038140	0.0000021160
1176	1845	0.669915	0.019161	0.0000009333
1177	2435	0.912740	0.237531	0.0000071441
1177	2469	0.979998	0.166302	0.0000085724
1193	3323	0.195102	0.509082	0.0000071272
1196	2426	0.815543	0.004499	0.0000001870
1199	4186	0.246327	0.000000	0.0000003017
1206	2445	0.353047	0.088520	0.0000054672
1208	3634	0.632613	0.000002	0.0000052179
1215	2419	0.881818	0.850394	0.0000027184
1215	2421	0.927643	0.104671	0.0000040875
1215	2418	0.881818	0.850394	0.0000027184
1216	1883	0.509591	0.053819	0.0000045649
1217	2307	0.248971	0.013167	0.0000001048
1217	4715	0.130288	0.673352	0.0000096302
1220	3527	0.279531	0.273198	0.0000041058
1222	2088	0.137144	0.499704	0.0000081712
1222	2284	0.348101	0.003430	0.0000082666
1222	2790	0.492533	0.019841	0.0000053036
1224	2498	0.343613	0.000003	0.0000003267
1225	2092	0.104142	0.432543	0.0000009845
1225	2468	0.166738	0.644987	0.0000094026
1232	1878	0.965005	0.466359	0.0000024196
1232	1882	0.962782	0.798211	0.0000047735
1232	2471	0.641347	0.003972	0.0000092553
1235	2283	0.647647	0.075613	0.0000089229
1236	2281	0.404306	0.503645	0.0000039360
1236	2277	0.457650	0.279887	0.0000012159
1239	1863	0.570236	0.009687	0.0000074328
1243	2430	0.578716	0.218685	0.0000044092
1244	1882	0.922271	0.083940	0.0000068841
1248	2255	0.397840	0.206303	0.0000068528
1248	2254	0.398054	0.010986	0.0000078720
1261	1842	0.664898	0.497282	0.0000064805
1261	1840	0.639985	0.925142	0.0000068660
1261	1853	0.729146	0.327190	0.0000031143
1261	1859	0.753596	0.778556	0.0000064760
1261	4125	0.780750	0.000068	0.0000045553
1264	2366	0.835283	0.059931	0.0000035170
1264	2434	0.650529	0.381261	0.0000085871
1269	2245	0.758643	0.346234	0.0000015740
1269	2239	0.755617	0.592366	0.0000022398
1269	2240	0.772194	0.650842	0.0000025034
1269	2241	0.765843	0.685996	0.0000022023
1269	2244	0.729312	0.993900	0.0000020707
1276	2065	0.911207	0.482775	0.0000027314
1276	2068	0.905705	0.457164	0.0000026579
1276	2067	0.894658	0.475461	0.0000049018
1281	3208	0.011831	0.912946	0.0000087652
1282	3279	0.325776	0.400512	0.0000015475
1287	1964	0.739181	0.007491	0.0000017848
1287	2430	0.637508	0.126851	0.0000027951
1287	2429	0.668613	0.526868	0.0000070285
1287	2431	0.595698	0.102958	0.0000040060
1287	2495	0.757834	0.000002	0.0000002212
1287	4439	0.201909	0.005099	0.0000079263
1299	1845	0.499121	0.354753	0.0000088298
1299	1844	0.618820	0.296031	0.0000058923
1308	1891	0.869798	0.980364	0.0000099186
1308	2370	0.636730	0.439038	0.0000076548
1314	1843	0.791830	0.260327	0.0000029577
1314	3315	0.440511	0.000004	0.0000003791
1315	4090	0.497289	0.057001	0.0000077613
1316	1852	0.503922	0.390662	0.0000069325
1316	2420	0.463978	0.013759	0.0000002126
1316	2422	0.428871	0.062282	0.0000016212
1316	2429	0.457615	0.670949	0.0000015427
1316	2447	0.398288	0.019694	0.0000053755
1317	2428	0.303360	0.000422	0.0000003960
1317	2468	0.317102	0.019369	0.0000050653
1320	2791	0.702626	0.061862	0.0000042998
1320	2867	0.341616	0.276944	0.0000046853
1320	2866	0.341616	0.276944	0.0000046853
1323	1841	0.644658	0.242585	0.0000025850
1330	1695	0.593998	0.150683	0.0000048599
1330	2221	0.462574	0.167765	0.0000080862
1330	2276	0.516397	0.354973	0.0000090055
1333	3819	0.079404	0.449737	0.0000003496
1334	2248	0.193230	0.992579	0.0000034188
1336	1683	0.500795	0.000526	0.0000067199
1336	2307	0.214204	0.236521	0.0000078360
1337	2419	0.403582	0.386188	0.0000025760
1339	1875	0.938300	0.974589	0.0000040200
1342	2375	0.690441	0.294076	0.0000038095
1345	2092	0.875741	0.360826	0.0000037794
1345	2091	0.875741	0.360826	0.0000037794
1346	1424	0.957020	0.539086	0.0000082248
1347	1679	0.346557	0.601267	0.0000095274
1348	1845	0.100490	0.064440	0.0000087947
1350	3873	0.301789	0.293157	0.0000063523
1352	2778	0.932871	0.611054	0.0000002618
1352	2779	0.932871	0.611054	0.0000002618
1352	2776	0.920388	0.916559	0.0000001638
1352	3410	0.266479	0.048178	0.0000087276
1352	3409	0.266479	0.048178	0.0000087276
1352	4791	0.740638	0.952762	0.0000097015
1353	1697	0.312672	0.925615	0.0000065331
1353	1815	0.212265	0.035773	0.0000027629
1357	2856	0.000003	0.806483	0.0000045395
1358	2095	0.672605	0.773380	0.0000038499
1361	2099	0.400688	0.515937	0.0000033970
1364	3900	0.285665	0.056472	0.0000083706
1366	2864	0.277854	0.080253	0.0000004392
1366	2867	0.316596	0.963138	0.0000022431
1371	3896	0.105239	0.385600	0.0000071223
1375	2311	0.922398	0.459740	0.0000049525
1384	1838	0.988175	0.588084	0.0000027701
1384	1837	0.955099	0.569765	0.0000006210
1384	2540	0.401753	0.008740	0.0000069073
1387	2854	0.247897	0.384763	0.0000017368
1387	3825	0.328677	0.982738	0.0000058008
1388	2865	0.252242	0.867381	0.0000023230
1388	2866	0.252242	0.867381	0.0000023230
1388	2868	0.252242	0.867381	0.0000023230
1388	2867	0.252242	0.867381	0.0000023230
1388	4628	0.548174	0.801730	0.0000066273
1389	1802	0.342117	0.161648	0.0000082597
1392	1779	0.310639	0.001789	0.0000009509
1392	2867	0.291113	0.278855	0.0000044855
1407	1845	0.978071	0.233452	0.0000083851
1412	2430	0.767197	0.271380	0.0000039205
1418	1836	0.984993	0.663692	0.0000023798
1421	2221	0.608744	0.300208	0.0000045165
1422	2865	0.325099	0.273482	0.0000045998
1422	2867	0.325099	0.273482	0.0000045998
1423	1894	0.911254	0.234057	0.0000095590
1424	2867	0.325099	0.273482	0.0000045998
1430	2864	0.681329	0.321202	0.0000054672
1430	2866	0.681329	0.321202	0.0000054672
1431	1860	0.468634	0.640148	0.0000048914
1431	1868	0.423916	0.967232	0.0000003444
1431	1863	0.384600	0.441488	0.0000099042
1431	1870	0.561871	0.260216	0.0000020966
1433	1597	0.187230	0.018314	0.0000032113
1435	3939	0.214829	0.837646	0.0000065495
1435	4847	0.316898	0.045574	0.0000046199
1436	2865	0.276100	0.317557	0.0000014707
1449	1869	0.122856	0.562030	0.0000061571
1449	2867	0.587837	0.366825	0.0000035339
1453	1825	0.217152	0.340209	0.0000010766
1453	2315	0.280991	0.062314	0.0000072430
1453	2466	0.532942	0.903525	0.0000026097
1453	2469	0.523514	0.369551	0.0000042682
1456	1679	0.492820	0.192512	0.0000042947
1456	2080	0.135320	0.056341	0.0000003313
1456	2081	0.135320	0.056341	0.0000003313
1456	2079	0.184941	0.354303	0.0000001516
1463	2092	0.764123	0.842938	0.0000039075
1463	2090	0.776064	0.669681	0.0000012406
1463	2091	0.785828	0.588653	0.0000026418
1464	3878	0.407378	0.741502	0.0000088200
1468	1590	0.968729	0.002639	0.0000049335
1470	2304	0.034240	0.015010	0.0000078385
1475	2868	0.469753	0.629368	0.0000085269
1476	1604	0.734733	0.072430	0.0000060827
1479	2866	0.183629	0.024126	0.0000001195
1479	2867	0.169462	0.130257	0.0000009881
1480	2865	0.325099	0.273482	0.0000045998
1480	2866	0.325099	0.273482	0.0000045998
1480	2867	0.325099	0.273482	0.0000045998
1485	2868	0.327050	0.946151	0.0000021555
1486	2425	0.186012	0.486708	0.0000015559
1486	2462	0.591197	0.205659	0.0000009776
1486	2867	0.122989	0.673887	0.0000069149
1488	2790	0.007534	0.171199	0.0000065175
1488	2789	0.006027	0.136150	0.0000066244
1488	2863	0.519041	0.116303	0.0000003485
1488	2861	0.519041	0.116303	0.0000003485
1488	2865	0.519041	0.116303	0.0000003485
1488	3877	0.434295	0.366005	0.0000064322
1489	1837	0.309541	0.634095	0.0000074175
1489	1838	0.320075	0.516536	0.0000042575
1492	2866	0.773363	0.158078	0.0000007446
1492	2864	0.773363	0.158078	0.0000007446
1493	2875	0.562203	0.414384	0.0000044555
1494	1841	0.050357	0.821075	0.0000091614
1494	1842	0.050357	0.821075	0.0000091614
1505	2399	0.448427	0.693324	0.0000064632
1508	1704	0.735054	0.067790	0.0000080883
1510	4792	0.833397	0.003838	0.0000092136
1512	1851	0.021290	0.004159	0.0000066904
1513	1684	0.198972	0.898648	0.0000040613
1514	4090	0.651822	0.005621	0.0000003606
1521	3329	0.308339	0.022352	0.0000009907
1528	1841	0.304284	0.733847	0.0000041205
1529	1842	0.802505	0.333530	0.0000051515
1529	3288	0.553671	0.158666	0.0000052152
1529	3295	0.525531	0.177087	0.0000047201
1529	3339	0.946651	0.293422	0.0000015608
1531	2283	0.798031	0.132145	0.0000028819
1531	2280	0.798031	0.132145	0.0000028819
1531	2281	0.537992	0.290354	0.0000055383
